Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.730000,14.740000,14.550000,14.590000,10.014299,3037400
2010-01-05,14.610000,14.655000,14.315000,14.360000,9.856429,15591000
2010-01-06,14.350000,14.460000,14.215000,14.240000,9.774062,5567600
2010-01-07,14.345000,14.345000,14.060000,14.165000,9.722585,3577000
2010-01-08,14.150000,14.305000,14.040000,14.250000,9.780925,4100200
2010-01-11,14.245000,14.285000,14.090000,14.230000,9.767199,4489600
2010-01-12,14.175000,14.270000,13.870000,13.995000,9.605901,4669000
2010-01-13,14.060000,14.140000,13.810000,14.115000,9.688269,4033600
2010-01-14,14.055000,14.080000,13.855000,14.015000,9.619626,4517400
2010-01-15,13.895000,14.055000,13.635000,13.695000,9.399984,4669400
2010-01-19,13.715000,13.925000,13.715000,13.880000,9.526963,3039400
2010-01-20,13.745000,13.880000,13.535000,13.750000,9.437734,8036600
2010-01-21,13.765000,13.970000,13.545000,13.615000,9.345074,7321600
2010-01-22,13.615000,13.615000,13.085000,13.105000,8.995022,8878600
2010-01-25,13.145000,13.310000,13.135000,13.220000,9.073957,7806400
2010-01-26,13.175000,13.370000,13.090000,13.215000,9.070521,6810800
2010-01-27,13.150000,13.360000,13.080000,13.320000,9.142591,6090400
2010-01-28,13.300000,13.350000,12.895000,13.195000,9.056792,10336800
2010-01-29,13.200000,13.475000,12.885000,12.905000,8.857742,7683400
2010-02-01,13.000000,13.290000,12.900000,13.255000,9.097977,6384800
2010-02-02,13.300000,13.345000,13.115000,13.280000,9.115139,6929400
2010-02-03,13.225000,13.490000,13.035000,13.460000,9.238688,8873200
2010-02-04,13.300000,13.305000,12.770000,12.975000,8.905789,11150800
2010-02-05,12.960000,13.185000,12.850000,13.140000,9.019045,7526800
2010-02-08,13.215000,13.360000,13.000000,13.140000,9.019045,4732200
2010-02-09,13.315000,13.340000,13.005000,13.205000,9.063655,7003800
2010-02-10,13.200000,13.380000,13.105000,13.330000,9.149454,4906200
2010-02-11,13.295000,13.625000,13.185000,13.595000,9.331347,6176400
2010-02-12,13.470000,13.740000,13.310000,13.615000,9.345074,5386200
2010-02-16,13.555000,13.625000,13.485000,13.600000,9.453158,5623400
2010-02-17,13.670000,13.680000,13.335000,13.530000,9.404506,7716200
2010-02-18,13.535000,13.655000,13.440000,13.635000,9.477489,5354000
2010-02-19,13.685000,13.770000,13.540000,13.705000,9.526144,3394400
