Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.599998,37.369999,36.570000,36.919998,21.157316,2827000
2010-01-05,36.849998,36.930000,36.270000,36.509998,20.922369,2136200
2010-01-06,36.400002,36.830002,36.270000,36.369999,20.842144,2379400
2010-01-07,36.209999,36.639999,35.730000,36.570000,20.956749,2311900
2010-01-08,36.470001,37.180000,36.340000,37.119999,21.271933,2379600
2010-01-11,37.230000,37.410000,36.349998,36.959999,21.180237,1961400
2010-01-12,36.700001,36.759998,35.299999,35.669998,20.440994,3002200
2010-01-13,35.889999,36.270000,34.950001,36.090000,20.681684,3969500
2010-01-14,35.730000,35.950001,34.810001,35.000000,20.057049,5867400
2010-01-15,34.930000,35.240002,33.270000,33.340000,19.105768,6721000
2010-01-19,33.480000,33.770000,33.200001,33.639999,19.277691,4374500
2010-01-20,33.299999,33.340000,32.619999,33.230000,19.042736,4605900
2010-01-21,33.349998,33.900002,32.759998,32.849998,18.824972,3852400
2010-01-22,32.230000,32.380001,30.719999,30.860001,17.684589,7991300
2010-01-25,30.790001,31.400000,30.780001,30.959999,17.741894,4021300
2010-01-26,30.719999,31.320000,30.660000,30.670000,17.575703,3843400
2010-01-27,30.559999,31.200001,30.160000,30.850000,17.678864,4557400
2010-01-28,30.900000,30.980000,28.930000,29.379999,16.836460,8674800
2010-01-29,29.730000,29.750000,27.799999,28.200001,16.160252,10519600
2010-02-01,28.450001,29.200001,28.299999,29.190001,16.727577,6982600
2010-02-02,29.139999,29.389999,28.690001,29.100000,16.676004,5245700
2010-02-03,28.950001,29.410000,28.719999,29.290001,16.784889,6157800
2010-02-04,29.240000,29.440001,28.120001,28.309999,16.223291,5891200
2010-02-05,28.469999,28.959999,28.059999,28.790001,16.498350,5902100
2010-02-08,28.790001,29.309999,28.299999,28.719999,16.458241,3299800
2010-02-09,29.110001,29.540001,28.760000,29.170000,16.716118,3539900
2010-02-10,29.150000,29.500000,28.700001,28.990000,16.612970,2348300
2010-02-11,28.920000,29.650000,28.629999,29.480000,16.981638,4173400
2010-02-12,29.100000,30.120001,28.760000,29.670000,17.091080,4493200
2010-02-16,30.120001,30.830000,29.780001,30.820000,17.753527,4337300
2010-02-17,30.900000,30.959999,30.049999,30.430000,17.528864,3327900
2010-02-18,30.270000,30.270000,29.670000,30.250000,17.425184,3180000
2010-02-19,30.450001,30.730000,30.100000,30.580000,17.615273,3698900
2010-02-22,30.790001,30.820000,30.180000,30.330000,17.471264,2849300
2010-02-23,30.020000,30.150000,28.799999,28.889999,16.641766,5228200
2010-02-24,29.110001,29.500000,28.900000,29.090000,16.756977,5315800
2010-02-25,28.490000,28.930000,27.980000,28.900000,16.647528,4440400
2010-02-26,28.920000,29.139999,28.440001,29.129999,16.780016,3311700
2010-03-01,29.389999,30.160000,29.370001,30.139999,17.361816,3653200
2010-03-02,30.480000,30.700001,30.190001,30.260000,17.430944,3016700
2010-03-03,30.350000,30.719999,30.080000,30.230000,17.413664,2371900
2010-03-04,30.180000,30.440001,29.620001,30.030001,17.298454,2037500
2010-03-05,30.200001,30.629999,29.959999,30.290001,17.448223,2578700
2010-03-08,30.379999,30.480000,30.110001,30.129999,17.356062,2001000
2010-03-09,29.930000,30.100000,29.580000,29.750000,17.137161,3126400
2010-03-10,29.680000,30.200001,29.639999,30.129999,17.356062,2733700
2010-03-11,29.980000,30.160000,29.580000,29.990000,17.275414,2789200
2010-03-12,30.040001,30.090000,29.309999,29.450001,16.964352,3970500
2010-03-15,28.670000,28.730000,27.700001,28.090000,16.180937,7296200
